id,source,target,LS,p_value,Len,delay,interaction
1,ASV1,ASV7,0.763482392,0,35,0,positive
2,ASV1,ASV13,0.821513355,1.11E-16,35,0,positive
3,ASV1,ASV39,0.786282301,0,35,0,positive
4,ASV1,ASV41,0.793520331,2.22E-15,35,0,positive
5,ASV1,ASV43,0.760480106,1.11E-16,35,0,positive
6,ASV1,ASV59,0.818288922,3.33E-16,35,0,positive
7,ASV1,ASV69,0.809944332,1.11E-16,35,0,positive
8,ASV1,ASV71,0.816243768,0,35,0,positive
9,ASV1,ASV80,0.788148046,0,35,0,positive
10,ASV1,ASV84,0.799808741,3.66E-15,35,0,positive
11,ASV1,ASV90,-0.741277039,1.44E-15,35,0,negative
12,ASV1,ASV92,0.755540013,0,35,0,positive
13,ASV1,ASV105,0.774064004,3.33E-16,35,0,positive
14,ASV1,ASV145,0.772943199,0,35,0,positive
15,ASV1,ASV146,0.730118752,3.33E-16,35,0,positive
16,ASV1,ASV170,0.716648161,0,35,0,positive
17,ASV1,ASV208,0.78612864,1.22E-15,28,0,positive
18,ASV1,ASV252,0.758245707,0,35,0,positive
19,ASV1,ASV272,0.761813521,0,35,0,positive
20,ASV1,ASV274,0.847047091,1.11E-16,27,0,positive
21,ASV1,ASV281,0.756086469,0,35,0,positive
22,ASV1,ASV292,0.72428745,1.11E-16,27,0,positive
23,ASV1,ASV293,0.719120383,0,30,0,positive
24,ASV1,ASV296,0.785355389,0,33,0,positive
25,ASV1,ASV303,0.709979534,0,35,0,positive
26,ASV1,ASV326,0.792124629,0,35,0,positive
27,ASV1,ASV347,0.733164847,0,33,0,positive
28,ASV1,ASV383,0.731228411,2.22E-16,35,0,positive
29,ASV3,ASV22,0.719252586,2.22E-16,32,0,positive
30,ASV3,ASV97,0.709288418,0,34,0,positive
31,ASV3,ASV182,0.718848884,0,34,0,positive
32,ASV4,ASV34,0.772329748,0,33,0,positive
33,ASV5,ASV11,0.793991745,0,33,0,positive
34,ASV5,ASV63,0.727663159,0,35,0,positive
35,ASV5,ASV144,0.761242867,0,33,0,positive
36,ASV5,ASV152,0.731378138,2.22E-16,35,0,positive
37,ASV5,ASV163,0.718521774,0,26,0,positive
38,ASV5,ASV242,0.768428087,1.11E-16,27,0,positive
39,ASV5,ASV250,0.722771347,1.11E-16,35,0,positive
40,ASV5,ASV292,0.724151611,1.11E-16,27,0,positive
41,ASV5,ASV305,0.812172115,0,27,0,positive
42,ASV6,ASV7,-0.704258502,0,35,0,negative
43,ASV6,ASV8,0.816796422,0,35,0,positive
44,ASV6,ASV21,0.719121873,0,35,0,positive
45,ASV6,ASV31,0.765584648,0,35,0,positive
46,ASV6,ASV44,0.715128601,0,35,0,positive
47,ASV6,ASV46,0.771961093,2.22E-16,35,0,positive
