id,label,kingdom,phylum,class,order,family,genus
ASV1,ASV1,Bacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,SAR11_Clade_Ia
ASV3,ASV3,Eukaryota,Bacillariophyta,Mediophyceae,Chaetocerotales,Polar-centric-Mediophyceae,Chaetoceros
ASV4,ASV4,Bacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,SAR11_Clade_Ib
ASV5,ASV5,Eukaryota,Bacillariophyta,Mediophyceae,Chaetocerotales,Polar-centric-Mediophyceae,Chaetoceros
ASV6,ASV6,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
ASV7,ASV7,Bacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,SAR11_Clade_Ia
ASV8,ASV8,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
ASV10,ASV10,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus
ASV11,ASV11,Eukaryota,Bacillariophyta,Mediophyceae,Chaetocerotales,Polar-centric-Mediophyceae,Chaetoceros
ASV13,ASV13,Bacteria,Alphaproteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,SAR11_Clade_I
ASV14,ASV14,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum
ASV15,ASV15,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus
ASV17,ASV17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
ASV19,ASV19,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiellaceae_X
ASV21,ASV21,Bacteria,Gammaproteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade
ASV22,ASV22,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Biddulphiales,Radial-centric-basal-Coscinodiscophyceae,Rhizosolenia
ASV23,ASV23,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade
ASV24,ASV24,Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia
ASV25,ASV25,Eukaryota,Bacillariophyta,Bacillariophyta_X,Bacillariophyta_XX,Bacillariophyta_XXX,Bacillariophyta_XXXX
ASV27,ASV27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV28,ASV28,Bacteria,Alphaproteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade
ASV29,ASV29,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Cyrtophoria
ASV30,ASV30,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Cyrtophoria
